game_id,home,away,winner
1,Brown,Columbia,FALSE
2,Brown,Cornell,FALSE
3,Brown,Dartmouth,FALSE
4,Brown,Harvard,FALSE
5,Brown,Penn,FALSE
6,Brown,Princeton,FALSE
7,Brown,Yale,FALSE
8,Columbia,Brown,FALSE
9,Columbia,Cornell,FALSE
10,Columbia,Dartmouth,FALSE
11,Columbia,Harvard,FALSE
12,Columbia,Penn,FALSE
13,Columbia,Princeton,FALSE
14,Columbia,Yale,FALSE
15,Cornell,Brown,FALSE
16,Cornell,Columbia,FALSE
17,Cornell,Dartmouth,FALSE
18,Cornell,Harvard,FALSE
19,Cornell,Penn,FALSE
20,Cornell,Princeton,FALSE
21,Cornell,Yale,FALSE
22,Dartmouth,Brown,FALSE
23,Dartmouth,Columbia,FALSE
24,Dartmouth,Cornell,FALSE
25,Dartmouth,Harvard,FALSE
26,Dartmouth,Penn,FALSE
27,Dartmouth,Princeton,FALSE
28,Dartmouth,Yale,FALSE
29,Harvard,Brown,FALSE
30,Harvard,Columbia,FALSE
31,Harvard,Cornell,FALSE
32,Harvard,Dartmouth,FALSE
33,Harvard,Penn,FALSE
34,Harvard,Princeton,FALSE
35,Harvard,Yale,FALSE
36,Penn,Brown,FALSE
37,Penn,Columbia,FALSE
38,Penn,Cornell,FALSE
39,Penn,Dartmouth,FALSE
40,Penn,Harvard,FALSE
41,Penn,Princeton,FALSE
42,Penn,Yale,FALSE
43,Princeton,Brown,FALSE
44,Princeton,Columbia,FALSE
45,Princeton,Cornell,FALSE
46,Princeton,Dartmouth,FALSE
47,Princeton,Harvard,FALSE
48,Princeton,Penn,FALSE
49,Princeton,Yale,FALSE
50,Yale,Brown,FALSE
51,Yale,Columbia,FALSE
52,Yale,Cornell,FALSE
53,Yale,Dartmouth,FALSE
54,Yale,Harvard,FALSE
55,Yale,Penn,FALSE
56,Yale,Princeton,FALSE
